dataset,column_name,data_type,description,source_id,reliability_tier,example_value,transformation_notes,verification_status
company_financials,ticker,string,"Stock exchange ticker symbol",SRC002,1,AMAT,"Standard ticker. Samsung uses KRX ticker 005930.KS for Korean exchange.",VERIFIED
company_financials,company_name,string,"Full company name",SRC002,1,Applied Materials Inc,"Pulled from yfinance info object.",VERIFIED
company_financials,fiscal_year,integer,"Fiscal year of reported financials",SRC002,1,2024,"Calendar year for most. TSMC fiscal year = calendar year. Verify Intel/Samsung fiscal year alignment.",NEEDS_VERIFICATION
company_financials,revenue_b,float,"Total annual revenue in billions USD",SRC002,1,26.5,"Pulled from yfinance income statement. Converted from local currency to USD using year-average exchange rate where applicable.",NEEDS_VERIFICATION
company_financials,capex_b,float,"Capital expenditure in billions USD — property plant and equipment purchases",SRC002,1,3.2,"From cash flow statement. Key metric for capex cycle analysis in Panel 1.",VERIFIED
company_financials,rd_spend_b,float,"Research and development expenditure in billions USD",SRC002,1,3.1,"From income statement. Shows R&D investment trajectory alongside capex.",VERIFIED
company_financials,gross_margin_pct,float,"Gross profit as percentage of revenue",SRC002,1,47.5,"Indicates pricing power and competitive position. TSMC margin expansion is key story.",VERIFIED
company_financials,company_type,string,"Classification: equipment_maker / foundry / fabless / memory / sub_tier_supplier",DERIVED,3,equipment_maker,"Assigned by author. Used for color coding and filtering in Tableau.",VERIFIED

trade_flow_data,year,integer,"Year of trade flow record",SRC001,1,2023,"BACI annual data. Most recent complete year in V202401 release.",VERIFIED
trade_flow_data,exporter_iso3,string,"3-letter ISO country code of exporting country",SRC001,1,TWN,"Standard ISO 3166-1 alpha-3. TWN=Taiwan KOR=South Korea NLD=Netherlands USA=United States CHN=China.",VERIFIED
trade_flow_data,importer_iso3,string,"3-letter ISO country code of importing country",SRC001,1,USA,"Same ISO standard.",VERIFIED
trade_flow_data,hs6_code,string,"6-digit Harmonized System product code",SRC001,1,854231,"854231 and 854239 = integrated circuits (chips). 854110-854190 = discrete semiconductor devices.",VERIFIED
trade_flow_data,trade_value_usd,float,"Trade flow value in current USD",SRC001,1,4523891234,"BACI harmonizes export/import reporting discrepancies. Value in current year USD.",VERIFIED
trade_flow_data,hs_description,string,"Human-readable description of HS code product category",SRC001,1,Electronic integrated circuits - processors and controllers,"Added during Spark transformation for readability. Not in raw BACI file.",DERIVED_IN_SPARK
